model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
1000 updates took 8 s
model is updating
5000 updates took 41 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	e_tot[17]	758.9	37.93	691.1	754.7	851.0	10000
	e_tot[18]	548.0	30.29	489.8	547.2	619.9	10000
	e_tot[19]	462.4	41.67	390.6	459.0	560.8	10000
	e_tot[20]	666.0	38.39	595.9	662.8	747.2	10000
	e_tot[21]	755.2	45.64	670.5	754.2	842.0	10000
	e_tot[22]	657.0	40.66	583.2	650.5	745.1	10000
	e_tot[23]	559.3	44.6	473.1	558.5	641.8	10000
	e_tot[24]	903.9	55.41	790.1	910.6	1007.0	10000
	epsilon_MP[1,1]	-0.05228	0.9948	-2.02	-0.03987	1.687	10000
	epsilon_MP[1,2]	-0.2276	0.9837	-2.1	-0.2355	1.734	10000
	epsilon_MP[2,1]	-0.3328	0.5591	-1.369	-0.3203	0.7539	10000
	epsilon_MP[2,2]	-0.02946	0.7415	-1.386	-0.06424	1.451	10000
	epsilon_MP[3,1]	-0.1018	0.5441	-1.167	-0.1062	0.9749	10000
	epsilon_MP[3,2]	-0.964	0.7359	-2.414	-0.9642	0.4857	10000
	epsilon_MP[4,1]	-0.01717	0.6724	-1.247	-0.03773	1.31	10000
	epsilon_MP[4,2]	0.04217	0.7951	-1.496	0.039	1.615	10000
	epsilon_MP[5,1]	1.292	0.6247	0.1365	1.277	2.577	10000
	epsilon_MP[5,2]	-0.2706	0.867	-1.963	-0.2767	1.421	10000
	epsilon_MP[6,1]	-0.2297	0.6897	-1.539	-0.2438	1.153	10000
	epsilon_MP[6,2]	0.7968	0.7441	-0.636	0.7934	2.248	10000
	epsilon_MP[7,1]	-1.797	0.7552	-3.226	-1.793	-0.37	10000
	epsilon_MP[7,2]	-1.031	0.8213	-2.591	-1.059	0.6249	10000
	epsilon_MP[8,1]	0.9287	0.6674	-0.3855	0.9215	2.195	10000
	epsilon_MP[8,2]	0.7136	0.8567	-0.961	0.7198	2.356	10000
	epsilon_MP[9,1]	0.986	0.6723	-0.2971	0.9786	2.302	10000
	epsilon_MP[9,2]	-0.8077	0.9058	-2.565	-0.8062	0.9396	10000
	epsilon_MP[10,1]	-1.738	0.6754	-3.052	-1.733	-0.4207	10000
	epsilon_MP[10,2]	-0.8149	0.8151	-2.366	-0.8163	0.7656	10000
	epsilon_MP[11,1]	-0.03662	0.4352	-0.8583	-0.04224	0.8319	10000
	epsilon_MP[11,2]	0.1667	0.7552	-1.307	0.1783	1.635	10000
	epsilon_MP[12,1]	0.2759	0.6138	-0.8652	0.2522	1.495	10000
	epsilon_MP[12,2]	0.3587	0.7366	-1.071	0.3541	1.836	10000
	epsilon_MP[13,1]	0.3611	0.5627	-0.7132	0.3569	1.474	10000
	epsilon_MP[13,2]	-0.2179	0.7028	-1.605	-0.2205	1.189	10000
	epsilon_MP[14,1]	0.6547	0.7059	-0.6574	0.634	2.048	10000
	epsilon_MP[14,2]	0.274	0.739	-1.182	0.3007	1.719	10000
	epsilon_MP[15,1]	0.1243	0.6803	-1.186	0.1134	1.465	10000
	epsilon_MP[15,2]	-0.9715	0.7034	-2.319	-0.9653	0.366	10000
	epsilon_MP[16,1]	0.2558	0.8169	-1.171	0.2378	1.849	10000
	epsilon_MP[16,2]	-0.1496	0.6921	-1.465	-0.1579	1.209	10000
	epsilon_MP[17,1]	-0.284	0.5452	-1.353	-0.2845	0.7872	10000
	epsilon_MP[17,2]	0.6941	0.7907	-0.8417	0.6918	2.222	10000
	epsilon_MP[18,1]	1.026	0.7017	-0.3279	1.036	2.369	10000
	epsilon_MP[18,2]	0.7935	0.7462	-0.6637	0.7905	2.272	10000
	epsilon_MP[19,1]	-0.2618	0.7279	-1.685	-0.2614	1.144	10000
	epsilon_MP[19,2]	0.04042	0.708	-1.329	0.03502	1.387	10000
	epsilon_MP[20,1]	-0.2521	0.5751	-1.402	-0.244	0.8523	10000
	epsilon_MP[20,2]	0.2168	0.7275	-1.201	0.2253	1.657	10000
	epsilon_MP[21,1]	-0.5672	0.5555	-1.692	-0.5476	0.514	10000
	epsilon_MP[21,2]	1.104	0.6799	-0.227	1.104	2.426	10000
	epsilon_MP[22,1]	-0.4304	0.5331	-1.463	-0.4268	0.6087	10000
	epsilon_MP[22,2]	-0.4408	0.6433	-1.702	-0.4341	0.8202	10000
	epsilon_MP[23,1]	-0.7395	0.5207	-1.707	-0.7308	0.221	10000
	epsilon_MP[23,2]	-6.429E-4	0.7384	-1.461	0.01301	1.412	10000
	epsilon_MP[24,1]	0.8477	0.5794	-0.2477	0.8291	2.021	10000
	epsilon_MP[24,2]	0.7554	0.7376	-0.6998	0.7511	2.192	10000
	epsilon_R[1,1]	-0.896	0.8272	-2.514	-0.8848	0.7347	10000
	epsilon_R[1,2]	-0.5351	0.978	-2.446	-0.5349	1.365	10000
	epsilon_R[2,1]	-1.754	0.6028	-2.967	-1.743	-0.6142	10000
	epsilon_R[2,2]	0.3495	0.9491	-1.508	0.3505	2.236	10000
	epsilon_R[3,1]	-0.7565	0.5832	-1.931	-0.7478	0.3635	10000
	epsilon_R[3,2]	0.2812	0.8979	-1.529	0.287	2.031	10000
	epsilon_R[4,1]	-0.4483	0.7032	-1.821	-0.4421	0.9171	10000
	epsilon_R[4,2]	-0.2136	0.9497	-2.064	-0.2207	1.624	10000
	epsilon_R[5,1]	0.3448	0.5387	-0.7039	0.3477	1.426	10000
	epsilon_R[5,2]	0.04695	0.9324	-1.792	0.04729	1.821	10000
	epsilon_R[6,1]	-0.1541	0.6774	-1.481	-0.1488	1.174	10000
	epsilon_R[6,2]	0.3483	0.8978	-1.395	0.3586	2.054	10000
	epsilon_R[7,1]	0.4229	0.857	-1.225	0.4326	2.052	10000
	epsilon_R[7,2]	-0.09453	1.0	-2.094	-0.08596	1.828	10000
	epsilon_R[8,1]	-0.6371	0.6538	-1.914	-0.637	0.6559	10000
	epsilon_R[8,2]	-0.8975	0.9616	-2.76	-0.8955	0.9836	10000
	epsilon_R[9,1]	-0.9342	0.608	-2.151	-0.9251	0.2537	10000
	epsilon_R[9,2]	0.4345	0.9243	-1.391	0.4344	2.229	10000
	epsilon_R[10,1]	0.7904	0.66	-0.4924	0.7861	2.118	10000
	epsilon_R[10,2]	0.3445	0.9046	-1.46	0.3756	2.056	10000
	epsilon_R[11,1]	0.6439	0.4699	-0.2525	0.6447	1.573	10000
	epsilon_R[11,2]	-0.4533	0.8512	-2.114	-0.4471	1.231	10000
