"annee"	"cap_lf"	"age_riv"	"nb"
1994	142		14
1994	143		19
1994	144		14
1994	145		40
1994	146		26
1994	147		19
1994	148		39
1994	149		12
1994	150		67
1994	151		22
1994	152		46
1994	153		25
1994	154		21
1994	155		53
1994	156		21
1994	157		15
1994	158		22
1994	159		12
1994	160		32
1994	161		8
1994	162		26
1994	163		13
1994	164		10
1994	165		29
1994	166		9
1994	167		14
1994	168		14
1994	169		6
1994	170		9
1994	171		3
1994	172		4
1994	173		3
1994	174		1
1994	175		3
1994	176		4
1994	177		2
1994	178		2
1994	180		3
1994	181		1
1994	183		1
1994	184		3
1994	186		2
1994	187		1
1994	188		1
1994	189		1
1994	190		1
1994	192		1
1994	193		2
1994	195		1
1994	198		1
1994	200		1
1994	205		1
1994	208		2
1994	224		1
1994	225		2
1994	226		1
1994	228		1
1994	236		1
1994	245		1
1994	248		1
1994	251		1
1994	265		1
1994	266		1
1994			108
1995	138		1
1995	145		1
1995	150		2
1995	153		2
1995	155		2
1995	157		1
1995	160		1
1995	161		4
1995	162		2
1995	164		1
1995	165		7
1995	166		1
1995	168		1
1995	170		3
1995	171		1
1995	175		1
1995	184		1
1995	186		1
1995	188		2
1995	192		2
1995	193		1
1995	195		1
1995	202		1
1995	205		2
1995	208		1
1995	209		1
1995	213		1
1995	220		1
1995	222		1
1995	229		1
1995	230		1
1996	139		1
1996	145		2
1996	152		1
1996	153		1
1996	155		1
1996	156		1
1996	160		1
1996	161		1
1996	162		1
1996	165		5
1996	166		2
1996	167		2
1996	169		2
1996	170		4
1996	172		2
1996	174		1
1996	175		5
1996	176		2
1996	178		1
1996	180		2
1996	185		1
1996	186		1
1996	189		1
1996	226		1
1997	120		2
1997	121		1
1997	125		6
1997	126		2
1997	127		3
1997	128		6
1997	129		1
1997	130		6
1997	131		6
1997	132		7
1997	133		4
1997	134		9
1997	135		38
1997	136		25
1997	137		7
1997	138		43
1997	139		17
1997	140		86
1997	141		20
1997	142		63
1997	143		54
1997	144		24
1997	145		169
1997	146		65
1997	147		50
1997	148		77
1997	149		54
1997	150		243
1997	151		42
1997	152		110
1997	153		97
1997	154		65
1997	155		225
1997	156		68
1997	157		54
1997	158		86
1997	159		35
1997	160		161
1997	161		26
1997	162		81
1997	163		43
1997	164		31
1997	165		98
1997	166		33
1997	167		19
1997	168		29
1997	169		21
1997	170		49
1997	171		17
1997	172		21
1997	173		9
1997	174		4
1997	175		17
1997	176		9
1997	177		10
1997	178		3
1997	179		2
1997	180		14
1997	181		1
1997	182		6
1997	183		1
1997	184		2
1997	185		2
1997	187		3
1997	188		2
1997	190		1
1997	192		1
1997	195		2
1997	198		1
1997	203		1
1997	214		1
1997	218		1
1997	220		1
1997	230		1
1998	112		1
1998	128		2
1998	130		2
1998	132		2
1998	133		3
1998	134		1
1998	135		2
1998	136		2
1998	137		3
1998	138		6
1998	139		3
1998	140		9
1998	141		2
1998	142		2
1998	143		9
1998	144		8
1998	145		27
1998	146		11
1998	147		10
1998	148		20
1998	149		12
1998	150		39
1998	151		14
1998	152		23
1998	153		21
1998	154		15
1998	155		48
1998	156		20
1998	157		19
1998	158		32
1998	159		14
1998	160		40
1998	161		10
1998	162		22
1998	163		21
1998	164		12
1998	165		27
1998	166		10
1998	167		5
1998	168		23
1998	169		6
1998	170		23
1998	171		4
1998	172		11
1998	173		2
1998	174		12
1998	175		18
1998	176		5
1998	177		6
1998	178		9
1998	179		2
1998	180		16
1998	181		1
1998	182		7
1998	183		4
1998	184		4
1998	185		10
1998	186		5
1998	187		3
1998	188		8
1998	189		1
1998	190		10
1998	191		1
1998	192		4
1998	193		6
1998	194		7
1998	195		7
1998	196		4
1998	197		2
1998	198		2
1998	199		1
1998	200		6
1998	202		5
1998	203		3
1998	204		2
1998	205		4
1998	206		1
1998	207		2
1998	209		2
1998	212		2
1998	213		1
1998	217		2
1998	218		2
1998	220		3
1998	222		1
1998	223		1
1998	225		1
1998	231		1
1998	234		1
1998	248		1
1999	220	.	1
1999	130		1
1999	145		1
1999	156		1
1999	157		2
1999	158		1
1999	160		2
1999	164		1
1999	165		4
1999	168		1
1999	172		1
1999	173		1
1999	175		1
1999	178		1
1999	182		1
1999	185		2
1999	187		1
1999	190		1
1999	191		1
1999	192		2
1999	195		2
1999	202		1
1999	203		1
1999	204		1
1999	205		1
1999	206		1
1999	208		1
1999	212		2
1999	217		1
1999	225		1
1999	245		1
2000	164	"1"	1
2000	173	"1"	1
2000	132		1
2000	138		1
2000	139		1
2000	140		3
2000	142		2
2000	143		3
2000	145		3
2000	146		2
2000	147		1
2000	148		4
2000	150		5
2000	151		7
2000	152		6
2000	153		1
2000	154		6
2000	155		27
2000	156		7
2000	157		4
2000	158		12
2000	160		18
2000	161		6
2000	162		10
2000	163		8
2000	164		8
2000	165		8
2000	166		7
2000	167		6
2000	168		12
2000	169		2
2000	170		14
2000	171		3
2000	172		14
2000	174		2
2000	175		7
2000	176		1
2000	177		3
2000	178		9
2000	179		2
2000	180		6
2000	181		2
2000	182		3
2000	183		3
2000	185		3
2000	186		1
2000	187		1
2000	188		1
2000	191		1
2000	205		1
2000	208		1
2001	135		1
2001	155		1
2001	160		1
2001	170		4
2001	175		1
2001	190		1
2001	205		1
2002	122		1
2002	135		1
2002	136		2
2002	145		2
2002	146		1
2002	147		2
2002	148		4
2002	149		1
2002	150		2
2002	151		4
2002	152		2
2002	153		6
2002	154		4
2002	155		7
2002	156		1
2002	158		3
2002	160		6
2002	163		1
2002	164		2
2002	165		1
2002	166		1
2002	168		1
2002	169		1
2002	170		2
2002	172		1
2002	173		1
2002	175		2
2002	176		1
2003	129		1
2003	132		1
2003	134		2
2003	135		6
2003	137		1
2003	138		1
2003	139		3
2003	140		15
2003	142		7
2003	143		6
2003	144		6
2003	145		39
2003	146		2
2003	147		7
2003	148		24
2003	149		2
2003	150		56
2003	151		4
2003	152		21
2003	153		13
2003	154		21
2003	155		63
2003	156		14
2003	157		13
2003	158		32
2003	159		1
2003	160		89
2003	161		9
2003	162		23
2003	163		9
2003	164		15
2003	165		56
2003	166		10
2003	167		7
2003	168		36
2003	169		2
2003	170		41
2003	171		5
2003	172		13
2003	173		9
2003	174		9
2003	175		18
2003	176		4
2003	177		6
2003	178		11
2003	179		4
2003	180		11
2003	181		2
2003	182		2
2003	183		1
2003	184		1
2003	185		6
2003	187		1
2003	188		3
2003	190		2
2003	192		2
2003	200		2
2003	220		1
2003	225		1
2004	113		1
2004	126		1
2004	128		3
2004	129		2
2004	130		5
2004	131		3
2004	132		17
2004	133		8
2004	134		7
2004	135		57
2004	136		18
2004	137		13
2004	138		38
2004	139		22
2004	140		83
2004	141		32
2004	142		76
2004	143		53
2004	144		67
2004	145		165
2004	146		62
2004	147		78
2004	148		107
2004	149		41
2004	150		199
2004	151		57
2004	152		129
2004	153		135
2004	154		83
2004	155		192
2004	156		78
2004	157		78
2004	158		122
2004	159		39
2004	160		138
2004	161		49
2004	162		58
2004	163		64
2004	164		38
2004	165		80
2004	166		30
2004	167		17
2004	168		40
2004	169		16
2004	170		40
2004	171		10
2004	172		23
2004	173		12
2004	174		7
2004	175		19
2004	176		9
2004	177		3
2004	178		1
2004	179		1
2004	180		5
2004	181		1
2004	182		4
2004	183		3
2004	184		3
2004	185		6
2004	186		1
2004	187		3
2004	188		2
2004	190		3
2004	192		3
2004	195		2
2004	196		2
2004	197		2
2004	198		2
2004	200		3
2004	202		1
2004	205		1
2004	215		2
2004	220		1
2004	225		1
2004	246		1
2004	252		1
2004			1534
2005	178	"1"	1
2005	183	"2"	1
2005	188	"2"	1
2005	192	"2"	1
2005	203	"2"	1
2005	205	"2"	1
2005	115		1
2005	119		2
2005	120		2
2005	123		1
2005	125		5
2005	127		1
2005	128		1
2005	129		3
2005	130		6
2005	131		3
2005	132		2
2005	133		4
2005	134		5
2005	135		35
2005	136		8
2005	137		12
2005	138		14
2005	139		3
2005	140		43
2005	141		21
2005	142		36
2005	143		27
2005	144		23
2005	145		113
2005	146		34
2005	147		43
2005	148		67
2005	149		30
2005	150		106
2005	151		39
2005	152		94
2005	153		89
2005	154		40
2005	155		134
2005	156		60
2005	157		66
2005	158		83
2005	159		39
2005	160		142
2005	161		35
2005	162		71
2005	163		62
2005	164		17
2005	165		87
2005	166		32
2005	167		26
2005	168		34
2005	169		19
2005	170		39
2005	171		12
2005	172		26
2005	173		11
2005	174		6
2005	175		16
2005	176		6
2005	177		4
2005	178		8
2005	179		3
2005	180		7
2005	181		4
2005	182		3
2005	183		3
2005	184		1
2005	185		9
2005	186		2
2005	187		2
2005	188		4
2005	189		1
2005	190		4
2005	191		1
2005	192		1
2005	195		3
2005	197		2
2005	198		2
2005	200		2
2005	202		1
2005	203		2
2005	206		2
2005	210		2
2005	212		2
2005	213		2
2005	214		1
2005	215		3
2005	220		2
2005	235		1
2005			83
2006	115		1
2006	118		1
2006	123		3
2006	125		2
2006	126		1
2006	127		2
2006	128		1
2006	129		2
2006	130		5
2006	131		7
2006	132		4
2006	133		6
2006	134		14
2006	135		22
2006	136		8
2006	137		10
2006	138		21
2006	139		5
2006	140		28
2006	141		10
2006	142		33
2006	143		20
2006	144		13
2006	145		34
2006	146		18
2006	147		31
2006	148		27
2006	149		16
2006	150		30
2006	151		24
2006	152		41
2006	153		27
2006	154		22
2006	155		41
2006	156		21
2006	157		34
2006	158		29
2006	159		15
2006	160		45
2006	161		31
2006	162		28
2006	163		34
2006	164		12
2006	165		32
2006	166		17
2006	167		25
2006	168		23
2006	169		10
2006	170		23
2006	171		10
2006	172		19
2006	173		13
2006	174		12
2006	175		20
2006	176		5
2006	177		9
2006	178		9
2006	179		2
2006	180		5
2006	181		1
2006	182		7
2006	183		1
2006	184		5
2006	187		3
2006	188		4
2006	189		1
2006	190		4
2006	192		4
2006	193		1
2006	198		2
2006	200		1
