"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"dRR_Oir[4,20]";14.57746534;3.26282767552433;9.1;12.28;14.25;16.52;21.93
"dRR_Oir[4,21]";7.20574492;2.146243934215;3.76897499676582;5.679;6.944;8.452;12.12
"dRR_Oir[4,22]";16.49968876;3.57593808456933;10.58;13.99;16.16;18.58;24.5002499502685
"dRR_Oir[5,1]";1.798274836;0.768333131912457;0.648297499811989;1.235;1.684;2.235;3.592
"dRR_Oir[5,2]";21.9378488;2.87419248763678;16.68;19.93;21.794999426474;23.78;27.9802499564524
"dRR_Oir[5,3]";21.2809202;2.84148001003085;16.1297499244112;19.3;21.14;23.11;27.19
"dRR_Oir[5,5]";16.1989033;2.47004504512764;11.71;14.47;16.07;17.77;21.4
"dRR_Oir[5,6]";0.5802847422;0.388772027735927;0.1047;0.3015;0.4888;0.7638;1.573
"dRR_Oir[5,7]";1.3533677524;0.660952409444634;0.415694998826908;0.8767;1.236;1.707;2.956
"dRR_Oir[5,8]";3.33420414;0.968156320922038;1.722;2.638;3.236;3.924;5.485
"dRR_Oir[5,9]";11.15869684;1.89911772452806;7.757;9.828;11.05;12.37;15.19
"dRR_Oir[5,10]";7.27168272;1.50331660710238;4.60597499735362;6.219;7.182;8.217;10.5
"dRR_Oir[5,11]";32.8940728;3.30846550218976;26.73;30.62;32.78;35.05;39.7
"dRR_Oir[5,12]";0.6155298252;0.38349541150921;0.133697499087995;0.3388;0.5282;0.796324998822766;1.584
"dRR_Oir[5,13]";5.94538164;1.39179886963339;3.52;4.957;5.837;6.817;8.94702499863791
"dRR_Oir[5,14]";11.00298708;1.8925874382277;7.58397499839286;9.685;10.9;12.2;15
"dRR_Oir[5,15]";17.5835239;2.43305784688291;13.15;15.9;17.46;19.15;22.71
"dRR_Oir[5,16]";15.24121892;2.38221012758654;11.02;13.56;15.09;16.76;20.33
"dRR_Oir[5,17]";19.50021058;2.7933641285266;14.48;17.55;19.36;21.29;25.41
"dRR_Oir[5,18]";28.1436762;3.00359945727581;22.57;26.05;28.04;30.11;34.37
"dRR_Oir[5,19]";20.4854158;2.59532581488954;15.76;18.69;20.36;22.17;25.88
"dRR_Oir[5,20]";20.3744942;2.70649720981;15.39;18.49;20.25;22.11;26.03
"dRR_Oir[5,21]";25.7379322;3.21183967913806;19.86;23.53;25.56;27.79;32.51
"dRR_Oir[5,22]";27.1169372;3.03677211310851;21.49;25.02;27.01;29.08;33.37
"dRR_Oir[6,1]";0.9431462294;0.650784510918453;0.1726;0.479;0.7819;1.236;2.622
"dRR_Oir[6,2]";11.97374248;2.95703523624444;6.941;9.855;11.7;13.82;18.44
"dRR_Oir[6,3]";9.92097974;2.65801814736825;5.442;8.015;9.668;11.57;15.79
"dRR_Oir[6,5]";2.98944899;1.36281237199161;1.007;1.987;2.769;3.751;6.234
"dRR_Oir[6,6]";0.56444457142;0.463445015493249;0.0765694999363218;0.247674996214288;0.4362;0.7376;1.792
"dRR_Oir[6,7]";1.083168241;0.766417657237962;0.192;0.5404;0.8878;1.416;3.06402499602321
"dRR_Oir[6,8]";1.3264118766;0.849637504289969;0.282397499568331;0.717874998694002;1.126;1.723;3.51902499653731
"dRR_Oir[6,9]";3.442241968;1.64188446534701;1.088;2.258;3.156;4.328;7.45007498528075
"dRR_Oir[6,10]";6.54521806;2.10314137262869;3.144;5.033;6.296;7.796;11.31
"dRR_Oir[6,11]";11.4025915;2.89679066621512;6.47897499811873;9.331;11.15;13.2;17.74
"dRR_Oir[6,12]";0.6055884402;0.457761987923607;0.1005;0.2898;0.484249997418689;0.784824998805517;1.813
"dRR_Oir[6,13]";6.64626556;2.37876952418827;2.94297499585789;4.931;6.32849998024808;8.008;12.2
"dRR_Oir[6,14]";1.838058464;1.02191395623792;0.4926;1.104;1.627;2.34124995996299;4.364
"dRR_Oir[6,15]";15.1764377;3.49226038978357;9.18597499867315;12.71;14.9;17.33;22.8
"dRR_Oir[6,16]";2.030892934;1.06144251062784;0.584694999166051;1.269;1.821;2.57;4.6580249973839
"dRR_Oir[6,17]";5.872619224;2.33628067348428;2.357;4.198;5.525;7.154;11.43
"dRR_Oir[6,18]";10.74015408;2.800009273395;6.00997499797191;8.733;10.49;12.48;16.85
"dRR_Oir[6,19]";7.04497056;2.46346309339952;3.17897499616545;5.26;6.732;8.47024998893229;12.74
"dRR_Oir[6,20]";10.81077004;2.8351527860108;6.011;8.7787499893204;10.54;12.56;17.08
"dRR_Oir[6,21]";7.83210022;2.46173315799637;3.853;6.063;7.564;9.28;13.43
"dRR_Oir[6,22]";6.20439406;2.06209737074854;2.888;4.72;5.972;7.435;10.9
"dRR_Oir[7,10]";6.21226468;2.04146403780543;2.939;4.751;5.964;7.41;10.86
"dRR_Oir[7,11]";11.88795904;3.07347036645616;6.7459749981932;9.696;11.6;13.76;18.76
"dRR_Oir[7,12]";0.39832671828;0.311816654854426;0.0610394999201171;0.1848;0.3143;0.5153;1.221
"dRR_Oir[7,13]";4.455849306;1.72479651317672;1.822;3.213;4.216;5.43224998274302;8.50002499856629
"dRR_Oir[7,14]";1.6571612096;0.898463619269415;0.4498;1.007;1.478;2.114;3.877024996857
"dRR_Oir[7,15]";8.1389918;2.57173449758315;4.03;6.294;7.822;9.643;13.9802499128629
"dRR_Oir[7,16]";3.14849451;1.49814399526877;1.044;2.071;2.885;3.927;6.79404999282594
"dRR_Oir[7,17]";4.386398914;1.82068048253454;1.6769749927297;3.081;4.096;5.373;8.74419991084968
"dRR_Oir[7,18]";10.31583782;2.75172499114395;5.74497499787835;8.345;10.04;11.98;16.42
"dRR_Oir[7,19]";4.131715214;1.67009915322653;1.62997499251998;2.923;3.879;5.057;8.066
"dRR_Oir[7,20]";4.82470324;1.81229147765041;2.0259749939825;3.519;4.572;5.855;9.0580249986546
"dRR_Oir[7,21]";5.41074113;2.0953900788331;2.222;3.909;5.113;6.587;10.3
"dRR_Oir[7,22]";4.356273134;1.72216399220932;1.75;3.119;4.106;5.306;8.43
