"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"n_1SW[8]","164.276025","23.6112626196152","132","147","160","176","222","1.0009737396048","40000"
"n_1SW[9]","137.34385","12.2897901996364","124","129","134","142","170","1.00098313127429","40000"
"n_1SW[10]","52.452","20.8570149200883","34","39","46","58","110","1.00097704585225","40000"
"n_1SW[11]","48.136375","16.0063887860886","30","37","44","55","89","1.00111057179792","11000"
"n_1SW[12]","121.01555","36.6353280574782","69","95","115","140","211","1.00099268595316","40000"
"n_1SW[13]","38.396625","12.8637708516744","23","29","35","44","71","1.00099080195898","40000"
"n_1SW[14]","33.97675","10.3336140351271","24","27","31","37","62","1.00101422195401","37000"
"n_1SW[15]","229.9868","26.6337081462616","194","211","225","244","296","1.00105368059454","19000"
"n_1SW[16]","32.952425","16.9104645327869","15","22","28","39","78","1.00098515627424","40000"
"n_1SW[17]","69.512975","50.6815587483189","12","33","57","92","201","1.00097349426096","40000"
"n_1SW[18]","98.60775","50.6667812082576","31","63","88","123","225","1.00103746778898","23000"
"n_1SW[19]","109.931825","17.45081632601","84","97","107","120","151","1.00098655933808","40000"
"n_1SW[20]","31.4236","15.4420845253924","14","21","27","38","72","1.00097464649516","40000"
"n_1SW[21]","85.296825","16.171356088415","62","74","83","94","125","1.00098026185911","40000"
"n_1SW[22]","262.252475","22.7263238012489","225","246","260","276","313","1.0010241034987","30000"
"n_1SW[23]","108.969025","14.378373829826","88","99","107","117","144","1.00097353141212","40000"
"n_1SW[24]","78.8072","24.6401726173472","47","61","73","90","142","1.00097549234387","40000"
"n_1SW[25]","134.714625","27.3718471528647","97","115","130","149","202","1.00097587514728","40000"
"n_1SW[26]","86.830075","10.1447559554782","74","80","85","92","112","1.00100695235963","40000"
"n_1SW[27]","138.5941","16.7419653125033","116","127","135","147","179","1.00098742293932","40000"
"n_1SW[28]","136.875975","10.3706982206559","124","129","135","142","163","1.0009735411724","40000"
"n_1SW[29]","133.87445","21.3515815444281","106","119","129","144","188","1.00099078125822","40000"
"n_1SW[30]","138.0502","24.6492559645416","105","120","133","150","200","1.00098854498831","40000"
"n_1SW[31]","77.222875","9.99418074809515","65","70","75","82","102.024881280315","1.00099133969437","40000"
"n_1SW[32]","156.78635","23.8400673740199","123","140","152","169","215","1.00098332003114","40000"
"n_1SW[33]","237.473025","39.8383169779656","177","209","232","260","330","1.0009864849525","40000"
"n_1SW[34]","320.334025","24.8493096383806","289","302","315","332","383","1.00106295029029","17000"
"n_1SW[35]","139.0002","25.7209678893452","104","121","134","151","203","1.0010019829071","40000"
"n_1SW[36]","140.489075","22.6924580937309","109","124","136","152","196","1.00097941663101","40000"
