"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"epsilon_Eu[17]","0.773","0.33","0.283","0.577","0.696","0.946","1.505","0.971","28"
"epsilon_Eu[18]","-0.342","1.238","-1.879","-1.464","-0.55","0.896","1.197","9.959","2"
"epsilon_Eu[19]","-0.129","0.737","-1.319","-0.784","0.027","0.442","0.85","4.188","2"
"epsilon_Eu[20]","0.001","0.424","-0.766","-0.255","0.055","0.213","0.792","1.71","5"
"epsilon_Eu[21]","-1.344","1.052","-3.076","-2.24","-1.421","-0.447","0.132","5.912","2"
"epsilon_Eu[22]","0.031","0.337","-0.467","-0.249","0.081","0.24","0.713","2.402","3"
"epsilon_Eu[23]","1.086","0.669","0.114","0.605","0.901","1.534","2.511","1.66","5"
"epsilon_Eu[24]","-0.145","0.799","-1.347","-0.966","-0.1","0.644","0.954","5.52","2"
"epsilon_Eu[25]","-0.57","0.719","-1.525","-1.226","-0.478","0.066","0.436","7.507","2"
"epsilon_Eu[26]","0.031","0.797","-1.454","-0.547","0.085","0.531","1.385","1.186","11"
"epsilon_Eu[27]","-1.231","1.379","-3.056","-2.364","-1.495","-0.374","1.022","4.644","2"
"epsilon_Eu[28]","-0.404","0.724","-1.681","-0.94","-0.256","0.144","0.682","3.683","2"
"epsilon_Eu[29]","-0.09","0.49","-0.767","-0.456","-0.213","0.239","0.805","3.065","3"
"Ntot[1]","1763.464","644.663","1151.462","1179.75","1483.368","2286.51","2783.86","7.719","2"
"Ntot[2]","7725.071","4602.655","2910.034","3282.459","6400.549","12087.462","13729.518","17.771","2"
"Ntot[3]","1044.929","300.995","751.675","766.5","941.96","1316.466","1549.609","8.402","2"
"Ntot[4]","3851.786","547.446","2999.925","3511.244","3706.494","4304.368","4803.784","3.768","2"
"Ntot[5]","10449.643","9735.529","1699.691","2153.75","4620.412","18917.617","28825.127","9.131","2"
"Ntot[6]","2102.893","653.771","871.039","1736.167","2238.373","2641.483","2905.799","2.987","3"
"Ntot[11]","981.857","309.508","594.731","743.611","925.451","1227.999","1638.894","3.932","2"
"Ntot[12]","1658.5","211.35","1189.347","1537.965","1667.437","1792.475","1958.801","1.327","8"
"Ntot[13]","2156.214","434.886","1478.791","1804.286","2257.44","2504.161","2773.131","3.576","2"
"Ntot[14]","1059.036","852.005","256.741","397.667","792.999","1462.117","2894.537","3.408","3"
"Ntot[15]","1719.464","578.033","847.126","1269.506","1737","2035.541","2879.893","1.286","8"
"Ntot[16]","5474.75","886.919","3530.072","4989.725","5619.977","6128.998","6623.245","2.962","3"
"Ntot[17]","1939.25","272.687","1575.675","1652.996","1975.412","2190.496","2272.328","7.394","2"
"Ntot[18]","737.071","283.717","369.366","541.64","663.498","925.749","1312.097","1.056","28"
"Ntot[19]","1234.679","431.543","556.814","787.419","1209.497","1558.685","1918.54","2.885","3"
"Ntot[21]","1387.857","508.537","474.601","1050.679","1400.461","1593.871","2519.894","1.814","4"
"Ntot[22]","9169.5","6491.484","2444.978","3070.122","5877.287","16030","17199.744","15.412","2"
"Ntot[23]","7038.25","693.996","5682.423","6467.426","7245.988","7525.747","7911.382","2.545","3"
"Ntot[24]","4765.786","464.217","4010.77","4319.446","4800.464","5162.75","5426.214","3.864","2"
"Ntot[25]","4880.107","2296.935","2454.518","2777.908","4235.559","6456.512","9168.653","7.277","2"
"Ntot[26]","4481.107","770.513","3025.527","4048.249","4406.998","5075.584","5568.662","3.739","2"
"Ntot[27]","6404.857","514.36","5361.229","6133.991","6390.999","6723.663","7346.274","1.085","18"
"Ntot[28]","1113.679","207.335","876.675","944.897","1075.5","1236.492","1566.433","1.09","28"
"Ntot[29]","2572.429","642.782","1658.591","2039.485","2474.458","3033.494","3710.89","4.413","2"
"Ntot[30]","5710.071","997.563","3653.934","5381.394","5874.772","6401.747","6976.738","2.854","3"
"Ntot[31]","24482.536","18905.956","5982.605","6527.271","15481.408","44089.878","51863.639","18.218","2"
"Ntot[32]","1554.714","469.336","785.014","1255.762","1532.475","1916.997","2251.603","3.972","2"
"Ntot[33]","2393.25","404.585","1738.049","2055.419","2414.814","2621.482","3153.605","1.287","11"
"Ntot[34]","35386.179","29693.111","5664.863","7239.855","19980.066","63589.936","75915.185","16.501","2"
"Ntot[35]","10139.429","2785.246","6927.476","7795.977","9280.003","12529.702","15319.192","5.426","2"
"Ntot[36]","1428.25","158.804","1114.698","1327.672","1430.994","1492.101","1718.407","1.034","26"
"Ntot[37]","3937.429","1515.09","1246.854","3028.26","3870.738","5218.216","6217.98","2.913","3"
"Ntot[38]","5089.321","1264.688","3182.501","4229.667","4799.83","5941.384","7160.744","3.578","2"
"Ntot[39]","2751.464","1409.058","803.752","1750.512","2452.4","3916.035","5123.796","3.306","3"
"Ntot[40]","946.607","887.471","8.1","85","800.5","1866.75","2192.975","9.232","2"
"Ntot[41]","1950.5","595.599","1224.806","1440.079","1765.5","2407.556","3054.809","3.489","2"
"Ntot[42]","5540.929","2052.46","3040.469","3638.919","5222.702","6616.235","9066.723","5.687","2"
"shape_lambda","1.564","0.828","0.6","0.756","1.475","2.249","2.864","7.769","2"
"rate_lambda","0","0","0","0","0","0.001","0.001","7.263","2"
"mean_gamma","5320.429","2269.148","2956.795","3706.883","4502.038","6858.903","10151.953","4.056","2"
"var_gamma","38851571.429","46511958.838","3360345.99","5231463.282","16119161.269","47944150.387","148496439.555","6.191","2"
"lambda[1]","1766.286","649.459","1085.781","1188.999","1502.216","2291.796","2828.798","7.674","2"
"lambda[2]","7716.071","4576.252","2922.636","3299.244","6446.674","12044.749","13731.917","17.236","2"
"lambda[3]","1050.911","306.237","712.177","771.749","965.265","1298.436","1550.438","8.716","2"
"lambda[4]","3846.429","541.035","2967.048","3446.497","3703.374","4292.112","4723.063","3.682","2"
