"Site";"Nat";"Comp";"Res";"Y";"Z";"S";"H"
242;242;NA;NA;18;5;518;1
243;243;NA;NA;18;5;123;2
244;244;NA;NA;18;5;840;2
245;245;NA;NA;20;5;156;1
246;246;NA;NA;20;5;123;2
247;247;NA;NA;20;5;1202;2
248;NA;1;NA;13;3;362;1
249;NA;2;NA;13;3;247;1
250;NA;3;NA;13;3;209.13;1
251;NA;4;NA;13;3;1462;1
252;NA;5;NA;13;3;574;1
253;NA;6;NA;13;3;232;2
254;NA;7;NA;13;3;185.87;2
255;NA;8;NA;13;3;706;2
256;NA;9;NA;15;3;362;1
257;NA;10;NA;15;3;209.13;1
258;NA;11;NA;15;3;1462;1
259;NA;12;NA;15;3;574;1
260;NA;13;NA;15;3;232;2
261;NA;14;NA;15;3;185.87;2
262;NA;15;NA;15;3;706;2
263;NA;16;NA;16;3;362;1
264;NA;17;NA;16;3;209.13;1
265;NA;18;NA;16;3;1462;1
266;NA;19;NA;16;3;574;1
267;NA;20;NA;16;3;232;2
268;NA;21;NA;16;3;697.87;2
269;NA;22;NA;16;3;706;2
270;NA;23;NA;13;4;523;1
271;NA;24;NA;13;4;1138;1
272;NA;25;NA;13;4;911;1
273;NA;26;NA;13;4;858;1
274;NA;27;NA;13;4;195;2
275;NA;28;NA;13;4;531;2
276;NA;29;NA;13;4;756;2
277;NA;30;NA;15;4;523;1
278;NA;31;NA;15;4;1138;1
279;NA;32;NA;15;4;465;1
280;NA;33;NA;15;4;364.4;1
281;NA;34;NA;15;4;858;1
282;NA;35;NA;15;4;195;2
283;NA;36;NA;15;4;531;2
284;NA;37;NA;15;4;1856.6;2
285;NA;38;NA;16;4;523;1
286;NA;39;NA;16;4;1138;1
287;NA;40;NA;16;4;465;1
288;NA;41;NA;16;4;911;1
289;NA;42;NA;16;4;858;1
290;NA;43;NA;16;4;195;2
291;NA;44;NA;16;4;531;2
292;NA;45;NA;16;4;2066;2
293;NA;46;NA;17;4;523;1
294;NA;47;NA;17;4;1138;1
295;NA;48;NA;17;4;465;1
296;NA;49;NA;17;4;911;1
297;NA;50;NA;17;4;858;1
298;NA;51;NA;17;4;195;2
299;NA;52;NA;17;4;531;2
300;NA;53;NA;17;4;2066;2
301;NA;54;NA;19;4;523;1
302;NA;55;NA;19;4;1138;1
303;NA;56;NA;19;4;465;1
304;NA;57;NA;19;4;911;1
305;NA;58;NA;19;4;858;1
306;NA;59;NA;19;4;195;2
307;NA;60;NA;19;4;570;2
308;NA;61;NA;19;4;2066;2
309;NA;62;NA;21;4;195;2
310;NA;63;NA;21;4;531;2
311;NA;64;NA;21;4;2066;2
312;NA;65;NA;22;4;465;1
313;NA;66;NA;22;4;911;1
314;NA;67;NA;22;4;195;2
315;NA;68;NA;22;4;531;2
316;NA;69;NA;22;4;2066;2
317;NA;70;NA;13;5;931;1
318;NA;71;NA;13;5;405;1
319;NA;72;NA;13;5;953;2
320;NA;73;NA;15;5;710;1
321;NA;74;NA;15;5;682;1
322;NA;75;NA;15;5;123;2
323;NA;76;NA;15;5;676;2
324;NA;77;NA;16;5;710;1
325;NA;78;NA;16;5;405;1
326;NA;79;NA;16;5;123;2
327;NA;80;NA;16;5;277;2
328;NA;81;NA;19;5;931;1
329;NA;82;NA;19;5;156;1
330;NA;83;NA;19;5;123;2
331;NA;84;NA;19;5;1202;2
332;NA;85;NA;21;5;123;2
333;NA;86;NA;21;5;867;2
334;NA;87;NA;22;5;518;1
335;NA;88;NA;22;5;123;2
336;NA;89;NA;22;5;840;2
337;NA;NA;1;3;4;523;1
338;NA;NA;2;3;4;1138;1
339;NA;NA;3;3;4;465;1
340;NA;NA;4;3;4;911;1
341;NA;NA;5;3;4;858;1
342;NA;NA;6;3;4;195;2
343;NA;NA;7;3;4;366;2
344;NA;NA;8;3;4;1191;2
345;NA;NA;9;4;4;523;1
346;NA;NA;10;4;4;1138;1
347;NA;NA;11;4;4;465;1
348;NA;NA;12;4;4;911;1
349;NA;NA;13;4;4;858;1
350;NA;NA;14;4;4;195;2
351;NA;NA;15;4;4;366;2
352;NA;NA;16;4;4;999;2
353;NA;NA;17;5;4;523;1
354;NA;NA;18;5;4;1285;1
355;NA;NA;19;5;4;465;1
356;NA;NA;20;5;4;911;1
357;NA;NA;21;5;4;858;1
358;NA;NA;22;5;4;195;2
359;NA;NA;23;5;4;366;2
360;NA;NA;24;5;4;1191;2
361;NA;NA;25;6;4;532;1
362;NA;NA;26;6;4;1138;1
363;NA;NA;27;6;4;465;1
364;NA;NA;28;6;4;911;1
365;NA;NA;29;6;4;858;1
366;NA;NA;30;6;4;195;2
367;NA;NA;31;6;4;366;2
368;NA;NA;32;6;4;1191;2
369;NA;NA;33;7;4;523;1
370;NA;NA;34;7;4;1138;1
371;NA;NA;35;7;4;465;1
372;NA;NA;36;7;4;911;1
373;NA;NA;37;7;4;858;1
374;NA;NA;38;7;4;195;2
375;NA;NA;39;7;4;366;2
376;NA;NA;40;7;4;1191;2
377;NA;NA;41;3;5;931;1
378;NA;NA;42;3;5;448;1
379;NA;NA;43;3;5;123;2
380;NA;NA;44;3;5;910;2
381;NA;NA;45;4;5;931;1
382;NA;NA;46;4;5;604;1
383;NA;NA;47;4;5;123;2
384;NA;NA;48;4;5;754;2
385;NA;NA;49;5;5;931;1
386;NA;NA;50;5;5;518;1
387;NA;NA;51;5;5;123;2
388;NA;NA;52;5;5;840;2
389;NA;NA;53;6;5;710;1
390;NA;NA;54;6;5;518;1
391;NA;NA;55;6;5;123;2
392;NA;NA;56;6;5;840;2
393;NA;NA;57;7;5;710;1
394;NA;NA;58;7;5;596;1
395;NA;NA;59;7;5;123;2
396;NA;NA;60;7;5;762;2
397;NA;NA;61;8;7;191;1
398;NA;NA;62;8;7;185;2
399;NA;NA;63;9;7;191;1
400;NA;NA;64;9;7;185;2
401;NA;NA;65;11;7;191;1
402;NA;NA;66;11;7;185;2
403;NA;NA;67;6;8;132.3;1
404;NA;NA;68;6;8;120;1
405;NA;NA;69;6;8;259.3;1
406;NA;NA;70;6;8;235;1
407;NA;NA;71;6;8;162.3;1
408;NA;NA;72;6;8;108.8;1
409;NA;NA;73;6;8;155.2;2
410;NA;NA;74;6;8;78;2
411;NA;NA;75;6;8;287.6;2
412;NA;NA;76;6;8;102.7;2
413;NA;NA;77;6;8;125.9;2
414;NA;NA;78;6;8;42.6;2
415;NA;NA;79;11;8;514;1
416;NA;NA;80;11;8;271;1
417;NA;NA;81;11;8;79;2
418;NA;NA;82;11;8;45;2
419;NA;NA;83;12;8;257;1
420;NA;NA;84;12;8;928;1
421;NA;NA;85;12;8;144;2
422;NA;NA;86;12;8;256;2
423;248;NA;NA;20;3;209.13;1
424;249;NA;NA;20;3;1462;1
425;250;NA;NA;21;3;430;1
426;251;NA;NA;21;3;1462;1
427;252;NA;NA;22;3;441.13;1
428;253;NA;NA;22;3;1462;1
429;254;NA;NA;20;4;523;1
430;255;NA;NA;20;4;1182.6;1
431;256;NA;NA;20;4;380.3;1
432;257;NA;NA;20;4;911;1
433;258;NA;NA;20;4;858;1
434;259;NA;NA;20;5;931;1
435;NA;90;NA;21;4;523;1
436;NA;91;NA;21;4;1138;1
437;NA;92;NA;21;4;228;1
438;NA;93;NA;21;4;911;1
439;NA;94;NA;21;4;858;1
440;NA;95;NA;22;4;523;1
441;NA;96;NA;22;4;1138;1
442;NA;97;NA;22;4;858;1
443;NA;98;NA;21;5;710;1
444;NA;99;NA;21;5;405;1
445;NA;100;NA;22;5;931;1
446;260;NA;NA;20;3;884;1
447;261;NA;NA;22;3;449;1
448;262;NA;NA;22;3;341;1
449;263;NA;NA;23;3;462;1
450;264;NA;NA;23;3;1462;1
451;265;NA;NA;23;3;449;1
452;266;NA;NA;23;3;341;1
453;267;NA;NA;20;4;457;1
454;268;NA;NA;20;4;777;1
455;269;NA;NA;20;5;325;1
456;270;NA;NA;23;5;931;1
457;271;NA;NA;23;5;230;1
458;272;NA;NA;23;5;325;1
459;NA;101;NA;24;3;462;1
460;NA;102;NA;24;3;1462;1
461;NA;103;NA;24;3;449;1
462;NA;104;NA;24;3;341;1
463;NA;105;NA;25;3;462;1
464;NA;106;NA;25;3;1462;1
465;NA;107;NA;25;3;449;1
466;NA;108;NA;25;3;341;1
467;NA;109;NA;22;4;660;1
468;NA;110;NA;22;4;290;1
469;NA;111;NA;22;4;629;1
470;NA;112;NA;22;4;479;1
471;NA;113;NA;22;4;1542;1
472;NA;114;NA;22;4;457;1
473;NA;115;NA;22;4;777;1
474;NA;116;NA;23;4;660;1
475;NA;117;NA;23;4;523;1
476;NA;118;NA;23;4;1138;1
477;NA;119;NA;23;4;290;1
478;NA;120;NA;23;4;629;1
479;NA;121;NA;23;4;479;1
480;NA;122;NA;23;4;1542;1
481;NA;123;NA;23;4;457;1
482;NA;124;NA;23;4;777;1
483;NA;125;NA;23;4;858;1
484;NA;126;NA;24;4;660;1
485;NA;127;NA;24;4;523;1
486;NA;128;NA;24;4;1138;1
487;NA;129;NA;24;4;68;1
488;NA;130;NA;24;4;629;1
489;NA;131;NA;24;4;479;1
490;NA;132;NA;24;4;1542;1
491;NA;133;NA;24;4;457;1
492;NA;134;NA;24;4;777;1
493;NA;135;NA;24;4;858;1
494;NA;136;NA;25;4;660;1
495;NA;137;NA;25;4;523;1
496;NA;138;NA;25;4;1138;1
497;NA;139;NA;25;4;68;1
498;NA;140;NA;25;4;629;1
499;NA;141;NA;25;4;479;1
500;NA;142;NA;25;4;1542;1
501;NA;143;NA;25;4;457;1
502;NA;144;NA;25;4;777;1
503;NA;145;NA;25;4;858;1
504;NA;146;NA;22;5;230;1
505;NA;147;NA;22;5;325;1
506;NA;148;NA;24;5;931;1
507;NA;149;NA;24;5;230;1
508;NA;150;NA;24;5;325;1
509;NA;151;NA;25;5;931;1
510;NA;152;NA;25;5;230;1
511;NA;153;NA;25;5;325;1
512;NA;154;NA;26;3;449;1
513;NA;155;NA;26;3;341;1
514;NA;156;NA;26;3;462;1
515;NA;157;NA;26;3;1462;1
516;273;NA;NA;26;4;629;1
517;274;NA;NA;26;4;777;1
518;275;NA;NA;26;4;858;1
519;276;NA;NA;26;4;660;1
520;277;NA;NA;26;4;523;1
521;278;NA;NA;26;4;1138;1
522;279;NA;NA;26;4;68;1
523;280;NA;NA;26;4;479;1
524;281;NA;NA;26;4;1542;1
525;282;NA;NA;26;4;457;1
526;283;NA;NA;26;5;931;1
527;284;NA;NA;26;5;230;1
528;285;NA;NA;26;5;325;1
529;286;NA;NA;27;3;449;1
530;287;NA;NA;27;3;341;1
531;288;NA;NA;27;3;462;1
532;289;NA;NA;27;3;1462;1
533;290;NA;NA;27;4;629;1
534;291;NA;NA;27;4;777;1
535;292;NA;NA;27;4;858;1
536;293;NA;NA;27;4;660;1
537;294;NA;NA;27;4;523;1
538;295;NA;NA;27;4;1138;1
539;296;NA;NA;27;4;68;1
540;297;NA;NA;27;4;479;1
541;298;NA;NA;27;4;1542;1
542;299;NA;NA;27;4;457;1
543;300;NA;NA;27;5;931;1
544;301;NA;NA;27;5;230;1
545;302;NA;NA;27;5;325;1
546;303;NA;NA;28;3;449;1
547;304;NA;NA;28;3;341;1
548;305;NA;NA;28;3;462;1
549;306;NA;NA;28;3;1462;1
550;307;NA;NA;28;4;629;1
551;308;NA;NA;28;4;777;1
552;309;NA;NA;28;4;858;1
553;310;NA;NA;28;4;479;1
554;311;NA;NA;28;4;523;1
555;312;NA;NA;28;4;68;1
556;313;NA;NA;28;4;1138;1
557;314;NA;NA;28;4;457;1
558;315;NA;NA;28;4;1542;1
559;316;NA;NA;28;4;660;1
560;317;NA;NA;28;5;230;1
561;318;NA;NA;28;5;325;1
562;319;NA;NA;28;5;931;1
563;320;NA;NA;29;3;449;1
564;321;NA;NA;29;3;341;1
565;322;NA;NA;29;3;462;1
566;323;NA;NA;29;3;1462;1
567;324;NA;NA;29;4;629;1
568;325;NA;NA;29;4;777;1
569;326;NA;NA;29;4;858;1
570;327;NA;NA;29;4;479;1
571;328;NA;NA;29;4;523;1
572;329;NA;NA;29;4;68;1
573;330;NA;NA;29;4;1138;1
574;331;NA;NA;29;4;457;1
575;332;NA;NA;29;4;1542;1
576;333;NA;NA;29;4;660;1
577;334;NA;NA;29;5;230;1
578;335;NA;NA;29;5;325;1
579;336;NA;NA;29;5;931;1
580;337;NA;NA;30;3;449;1
581;338;NA;NA;30;3;341;1
