"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"Plambda[14,3]";0.0288842432686;0.0279904267140805;0.000757114813384352;0.00865999982676316;0.0209749994040524;0.04008;0.105007489573179
"Plambda[14,4]";0.171615166;0.0594172512143286;0.0750189997399781;0.1295;0.165;0.2057;0.3085
"Plambda[15,1]";0.54498908;0.057742721142479;0.4298;0.5066;0.546049997710832;0.5854;0.654
"Plambda[15,2]";0.277291335;0.0494562329908571;0.1856;0.242;0.2763;0.31;0.3837
"Plambda[15,3]";0.0455936101;0.0206210114711836;0.01497;0.0308174996957568;0.0427;0.0565224998341466;0.0945127484408438
"Plambda[15,4]";0.132126147;0.0422575025006939;0.0655367468532483;0.102;0.1271;0.1558;0.2296
"Plambda[16,1]";0.57155554;0.0453766057891475;0.478697499745369;0.5425;0.5729;0.6037;0.6552
"Plambda[16,2]";0.28089605;0.0363476561088602;0.2117;0.2558;0.28;0.3043;0.3545
"Plambda[16,3]";0.0467394481;0.0285305599147478;0.00973849949875749;0.026297499643457;0.0407449996932139;0.0602;0.119502498980687
"Plambda[16,4]";0.100809076;0.0429585820348306;0.0347482482791924;0.0690074998641386;0.0948749998682477;0.1266;0.200304997567749
"Plambda[17,1]";0.48996312;0.0533411768147273;0.387594998741833;0.4521;0.4907;0.5271;0.593702499794742
"Plambda[17,2]";0.433503;0.0522375865019083;0.333897499634923;0.3977;0.4304;0.4689;0.538102499773536
"Plambda[17,3]";0.0296134998;0.0163420984666667;0.00804729881002214;0.0183324953950054;0.02618;0.036632499744103;0.0735084808898068
"Plambda[17,4]";0.0469204975;0.0219096314986134;0.01664;0.03124;0.04261;0.058542499839869;0.101502498800039
"Plambda[18,1]";0.53820893;0.0426446179675614;0.448;0.511174998165871;0.5407;0.5667;0.6176
"Plambda[18,2]";0.28298408;0.0324760284178312;0.217497499439486;0.2614;0.283149995585379;0.3045;0.346102499647929
"Plambda[18,3]";0.071210785;0.0262922012258066;0.0315994998456635;0.0522974998207257;0.06714;0.08584;0.135304996400398
