"1984"	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"
378000	214200	448200	253800	270000	819000	792000	787500	840600	1346000	935100	735300	667800	307800	349200	456300	493200	504900	1094000	409500	290700	265500	240300	161100	310500	210600	376200	311400	261000	420300	417600	468900	193500	286200	245700	279900	360900	183600
271800	284400	576900	385200	228600	481500	767700	699300	754200	1293000	938700	700200	635400	322200	332100	459900	405000	547200	1022000	375300	264600	288000	232200	187200	342900	201600	374400	347400	249300	391500	454500	332100	260100	201600	261900	365400	466200	155700
204300	181800	509400	267300	183600	605700	843300	778500	765900	1262000	1038000	671400	637200	324000	374400	469800	494100	528300	1031000	411300	282600	318600	224100	205200	359100	197100	380700	295200	265500	470700	400500	307800	244800	270900	224100	311400	372600	215100
218700	205200	601200	253800	272700	927900	686700	594900	672300	1438000	965700	639000	641700	322200	339300	439200	390600	526500	1014000	421200	261900	300600	243900	208800	316800	198900	434700	381600	236700	487800	378900	328500	208800	238500	219600	282600	376200	172800
280800	187200	619200	281700	244800	523800	766800	597600	727200	1247000	836100	706500	660600	357300	358200	469800	413100	530100	1095000	387000	292500	270900	213300	207900	315900	217800	352800	326700	215100	451800	333000	339300	242100	243000	220500	309600	473400	222300
264600	228600	598500	251100	268200	623700	761400	580500	724500	1328000	934200	724500	634500	307800	360900	418500	463500	541800	1085000	434700	248400	288000	279000	213300	306000	229500	364500	321300	205200	378900	343800	341100	216900	247500	225900	268200	385200	183600
351900	188100	582300	367200	240300	597600	779400	672300	797400	1432000	1080000	645300	620100	329400	377100	440100	378000	522000	1164000	415800	232200	276300	283500	219600	282600	211500	360900	286200	265500	518400	362700	336600	216900	230400	273600	333000	403200	217800
204300	251100	486000	283500	216900	480600	687600	565200	801000	1457000	1035000	635400	637200	334800	351000	512100	383400	517500	1068000	413100	250200	300600	250200	198900	322200	216000	335700	303300	206100	432000	430200	401400	225900	189900	251100	264600	517500	183600
198000	263700	604800	209700	270900	640800	934200	704700	856800	1425000	1098000	761400	639000	328500	333000	483300	467100	496800	1094000	418500	261900	288000	262800	161100	357300	222300	370800	284400	265500	436500	405900	360000	243900	221400	257400	293400	514800	156600
247500	255600	552600	283500	265500	773100	848700	651600	789300	1381000	1046000	689400	613800	329400	357300	435600	426600	527400	1066000	414900	255600	266400	214200	195300	309600	248400	339300	291600	243900	389700	486000	305100	229500	208800	266400	282600	384300	164700
242100	180900	541800	325800	250200	952200	778500	638100	796500	1246000	975600	706500	611100	333000	339300	429300	439200	533700	1059000	399600	251100	320400	242100	168300	293400	185400	349200	315000	228600	446400	450000	359100	211500	246600	231300	295200	400500	207900
210600	181800	570600	414000	195300	663300	797400	639900	751500	1287000	1037000	686700	613800	321300	365400	459900	444600	489600	1089000	377100	248400	282600	315000	161100	336600	211500	368100	314100	235800	433800	431100	333900	217800	234000	246600	316800	418500	177300
275400	180000	520200	296100	184500	622800	804600	650700	707400	1292000	1026000	642600	621000	342000	404100	478800	424800	560700	1111000	423900	265500	316800	240300	181800	320400	209700	365400	335700	213300	486000	393300	467100	246600	230400	263700	333000	499500	216900
201600	265500	462600	282600	303300	675900	728100	727200	817200	1377000	939600	694800	621000	319500	316800	418500	492300	528300	1052000	367200	261900	288000	237600	192600	381600	208800	399600	300600	281700	401400	390600	383400	294300	225900	233100	372600	359100	168300
256500	265500	412200	318600	265500	438300	746100	727200	762300	1266000	921600	659700	602100	316800	415800	443700	414000	539100	1107000	374400	254700	307800	272700	165600	340200	240300	355500	325800	188100	401400	412200	272700	291600	247500	239400	284400	489600	162900
