"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"pmale_1SW[31]","0.726","0.052","0.616","0.692","0.729","0.762","0.818","1.001","4100"
"pmale_1SW[32]","0.574","0.053","0.469","0.538","0.576","0.611","0.679","1.001","6900"
"pmale_1SW[33]","0.7","0.047","0.6","0.671","0.703","0.733","0.785","1.001","6500"
"pmale_1SW[34]","0.631","0.034","0.561","0.609","0.632","0.654","0.696","1.001","6900"
"pmale_1SW[35]","0.565","0.058","0.452","0.528","0.567","0.606","0.677","1.001","6900"
"pmale_1SW[36]","0.668","0.029","0.606","0.649","0.669","0.688","0.721","1.002","1600"
"pmale_1SW[37]","0.555","0.056","0.443","0.517","0.556","0.593","0.662","1.001","6900"
"pmale_1SW[38]","0.652","0.058","0.531","0.615","0.654","0.694","0.757","1.001","6900"
"pmale_1SW[39]","0.678","0.09","0.5","0.615","0.688","0.75","0.833","1.001","6900"
"pmale_1SW[40]","0.716","0.068","0.571","0.674","0.72","0.762","0.833","1.002","2200"
"pmale_1SW[41]","0.77","0.209","0.375","0.6","0.75","1","1","1.001","6900"
"pmale_MSW[1]","0.332","0.056","0.233","0.292","0.333","0.37","0.448","1.001","6900"
"pmale_MSW[2]","0.181","0.032","0.13","0.159","0.178","0.2","0.254","1.001","6900"
"pmale_MSW[3]","0.254","0.042","0.18","0.224","0.25","0.28","0.348","1.001","2400"
"pmale_MSW[4]","0.201","0.03","0.152","0.18","0.196","0.217","0.269","1.001","6900"
"pmale_MSW[5]","0.102","0.04","0.05","0.07","0.095","0.125","0.2","1.001","4600"
"pmale_MSW[6]","0.25","0.043","0.175","0.219","0.247","0.278","0.341","1.001","6900"
"pmale_MSW[7]","0.258","0.039","0.19","0.23","0.256","0.282","0.341","1.001","6900"
"pmale_MSW[8]","0.273","0.045","0.19","0.241","0.27","0.302","0.371","1.002","2100"
"pmale_MSW[9]","0.162","0.026","0.121","0.143","0.159","0.177","0.22","1.001","5500"
