model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
1000 updates took 44 s
model is updating
5000 updates took 223 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	d_Sc_pred[8,7]	3.013	1.323	1.178	2.771	6.246	10000
	d_Sc_pred[8,8]	5.392	1.864	2.56	5.15	9.76	10000
	d_Sc_pred[8,9]	1.191	0.4927	0.4811	1.104	2.387	10000
	d_Sc_pred[8,10]	6.694	2.02	3.443	6.493	11.16	10000
	d_Sc_pred[8,11]	6.531	2.361	3.045	6.158	12.45	10000
	d_Sc_pred[8,12]	9.426	2.872	4.869	9.077	15.24	10000
	d_Sc_pred[8,13]	10.7	3.323	5.459	10.2	18.32	10000
	d_Sc_pred[8,14]	4.814	1.542	2.419	4.611	8.301	10000
	d_Sc_pred[8,15]	9.335	3.088	4.506	8.958	16.79	10000
	d_Sc_pred[8,16]	12.94	3.84	6.646	12.62	21.8	10000
	d_Sc_pred[8,17]	7.089	2.161	3.674	6.817	12.02	10000
	d_Sc_pred[8,18]	8.45	2.509	4.383	8.145	14.19	10000
	d_Sc_pred[8,19]	14.36	3.823	8.031	13.93	23.22	10000
	d_Sc_pred[8,20]	10.72	3.5	5.274	10.28	18.52	10000
	d_Sc_pred[8,21]	10.56	3.021	5.659	10.24	17.34	10000
	d_Sc_pred[8,22]	8.357	2.523	4.342	8.033	14.31	10000
	d_Sc_pred[8,23]	18.77	5.615	9.615	18.05	30.48	10000
	d_Sc_pred[8,24]	8.968	2.607	4.654	8.691	14.57	10000
	d_Sc_pred[8,25]	13.33	4.032	6.777	12.91	22.27	10000
	d_Sc_pred[9,1]	4.777	1.811	2.07	4.508	8.998	10000
	d_Sc_pred[9,2]	9.253	3.302	4.243	8.747	17.0	10000
	d_Sc_pred[9,3]	2.778	1.08	1.199	2.603	5.29	10000
	d_Sc_pred[9,4]	6.059	1.859	3.092	5.844	10.3	10000
	d_Sc_pred[9,5]	2.488	0.9403	1.106	2.337	4.624	10000
	d_Sc_pred[9,6]	4.017	1.575	1.671	3.778	7.666	10000
	d_Sc_pred[9,7]	4.995	2.045	2.046	4.642	9.964	10000
	d_Sc_pred[9,8]	10.16	3.114	5.162	9.669	17.27	10000
	d_Sc_pred[9,9]	2.383	1.034	0.9149	2.207	4.951	10000
	d_Sc_pred[9,10]	12.61	3.495	6.942	12.32	20.28	10000
	d_Sc_pred[9,11]	7.589	2.688	3.579	7.155	14.11	10000
	d_Sc_pred[9,12]	11.35	3.193	6.101	10.97	18.85	10000
	d_Sc_pred[9,13]	6.492	2.035	3.33	6.191	11.13	10000
	d_Sc_pred[9,14]	7.44	2.204	3.968	7.16	12.44	10000
	d_Sc_pred[9,15]	12.51	3.856	6.428	12.03	21.26	10000
	d_Sc_pred[9,16]	16.02	4.465	8.476	15.62	25.72	10000
	d_Sc_pred[9,17]	9.278	2.685	4.847	9.006	15.32	10000
	d_Sc_pred[9,18]	9.36	2.675	5.13	9.067	15.53	10000
	d_Sc_pred[9,19]	15.44	3.949	8.96	14.9	23.69	10000
	d_Sc_pred[9,20]	13.39	4.227	6.834	12.72	23.12	10000
	d_Sc_pred[9,21]	14.99	3.923	8.332	14.59	23.43	10000
	d_Sc_pred[9,22]	10.38	3.035	5.446	10.01	17.11	10000
	d_Sc_pred[9,23]	19.5	5.618	10.29	18.8	32.28	10000
	d_Sc_pred[9,24]	7.881	2.315	4.123	7.628	13.04	10000
	d_Sc_pred[9,25]	12.34	3.608	6.561	11.97	20.17	10000
	d_Sc_pred[10,1]	3.461	1.4	1.451	3.259	6.541	10000
	d_Sc_pred[10,2]	6.947	2.6	3.112	6.534	13.0	10000
	d_Sc_pred[10,3]	3.195	1.173	1.431	2.99	6.019	10000
	d_Sc_pred[10,4]	7.901	2.453	3.93	7.642	13.49	10000
	d_Sc_pred[10,5]	5.493	1.881	2.56	5.249	9.754	10000
	d_Sc_pred[10,6]	2.489	0.982	1.038	2.336	4.834	10000
	d_Sc_pred[10,7]	5.421	2.382	2.089	4.983	11.35	10000
	d_Sc_pred[10,8]	10.26	3.28	5.012	9.919	17.74	10000
	d_Sc_pred[10,9]	1.461	0.5962	0.6091	1.363	2.847	10000
	d_Sc_pred[10,10]	8.696	2.512	4.477	8.423	14.29	10000
	d_Sc_pred[10,11]	6.021	2.176	2.791	5.677	11.11	10000
	d_Sc_pred[10,12]	8.58	2.617	4.455	8.262	14.28	10000
	d_Sc_pred[10,13]	8.967	2.789	4.526	8.672	14.99	10000
	d_Sc_pred[10,14]	6.01	1.858	3.089	5.771	10.08	10000
	d_Sc_pred[10,15]	6.4	2.239	3.019	6.072	11.59	10000
	d_Sc_pred[10,16]	8.161	2.51	4.262	7.858	13.84	10000
	d_Sc_pred[10,17]	6.571	1.96	3.435	6.332	11.2	10000
	d_Sc_pred[10,18]	7.209	2.187	3.789	6.925	11.95	10000
	d_Sc_pred[10,19]	7.936	2.357	4.213	7.62	13.44	10000
	d_Sc_pred[10,20]	14.33	4.585	7.061	13.78	24.99	10000
	d_Sc_pred[10,21]	9.53	2.694	5.233	9.161	15.46	10000
	d_Sc_pred[10,22]	7.742	2.384	4.08	7.43	13.35	10000
	d_Sc_pred[10,23]	23.51	6.783	12.04	22.79	39.01	10000
	d_Sc_pred[10,24]	7.387	2.208	3.872	7.131	12.22	10000
	d_Sc_pred[10,25]	13.1	3.857	6.78	12.77	21.34	10000
	d_Sc_pred[11,1]	8.732	3.061	4.16	8.318	15.94	10000
	d_Sc_pred[11,2]	18.71	6.022	9.317	18.02	32.38	10000
	d_Sc_pred[11,3]	5.57	1.905	2.676	5.283	9.955	10000
	d_Sc_pred[11,4]	14.22	3.754	7.798	13.9	22.55	10000
	d_Sc_pred[11,5]	8.393	2.645	4.247	8.003	14.51	10000
	d_Sc_pred[11,6]	5.102	1.81	2.339	4.825	9.338	10000
	d_Sc_pred[11,7]	12.21	4.86	5.193	11.42	23.47	10000
