"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"Ntot[2]";2015.6399;284.642550749312;1538;1819;1990;2181;2647.02499539687;1.01103316336548;170
"Ntot[3]";10002.57525;272.692151129991;9489.00000000001;9815;9996.00000000001;10180;10560;1.00158170188576;2400
"Ntot[4]";4877.81085;354.684301626064;4230;4628;4859;5109;5610;1.00190832972632;1600
"Ntot[5]";2654.32065;224.04060489833;2264;2496;2636;2796;3133;1.00252939724921;950
"Ntot[6]";3067.3446;250.990641988817;2617;2892;3051;3228;3597;1.00313420881452;690
"Ntot[7]";11846.7311;695.64203918763;10569.7498846254;11370;11820;12290;13300;1.00272927530494;850
"Ntot[8]";1255.6803;79.6233174738674;1114;1201;1251;1305;1426;1.00159847504031;2300
"Ntot[9]";10165.8078;209.831120223171;9764.99999999999;10020;10160;10300;10600;1.00274418637976;840
"Ntot[10]";7886.1305;166.473193145178;7574.00000000001;7770;7882.99999999999;7998;8218.99999999999;1.0024932378418;970
"Ntot[11]";10800.6322;256.13742686736;10320;10620;10790;10970;11320;1.00217375263915;1200
"Ntot[12]";7190.0966;423.833265565942;6420;6892;7174;7462.00000000001;8073.02499849046;1.00380052994091;2700
"Ntot[13]";7566.15225;284.483331687883;7031;7372.99999999999;7559.00000000001;7750;8149.02499850454;1.00166660368112;2100
"Ntot[14]";10590.38675;661.655242975876;9362;10130;10570;11010;11980;1.00116230667636;7000
"Ntot[15]";13744.9645;635.460391554983;12570;13310;13720;14150;15080;1.0012166784084;5600
"Ntot[16]";10595.97935;449.150438527448;9764.99999999999;10290;10580;10890;11540.2498944493;1.00380924439535;900
"Ntot[17]";8839.041;682.903594722552;7617.97499840002;8364;8797.99999999999;9279;10280;1.0028181317793;3100
"Ntot[18]";8311.27155;812.16360888492;6882;7739.00000000001;8249.99999999999;8823;10030.2498785692;1.01336332343853;390
"Ntot[19]";8675.82615;1367.56244171072;6279.94999223563;7740;8542;9496.24999012802;11750.2498963347;1.01167105455276;190
"Ntot[20]";10320.6905;573.286365329391;9254.00000000001;9925.00000000001;10300;10680;11520;1.00221620671731;1200
"Ntot[21]";6633.27705;492.927497578692;5748;6288;6605;6954;7665.02499841013;1.00096041957575;20000
"Ntot[22]";9794.31365;369.163749124099;9086;9546;9789.99999999999;10040;10540;1.00099341990772;20000
"shape_lambda";3.520806455;1.04457943691891;1.804;2.766;3.41249996336996;4.14824997740192;5.855;1.00204150318642;1400
"rate_lambda";0.0004474092165;0.000142978583187845;0.0002129;0.0003444;0.000431749997104806;0.0005341;0.000762902499840261;1.00202056955843;1400
"mean_gamma";7987.28585;978.166966611788;6310.94999227378;7316;7900.49998417822;8560;10160;1.0009885171669;20000
"var_gamma";20233039.9;9088601.37823519;9442999.99999999;14180000;18200000;23810000;43290249.9718511;1.00181182108433;1700
"lambda[1]";6239.6789;870.506566534055;4765;5605;6166;6807;8116.04999399432;1.00583442357953;320
"lambda[2]";2018.1056;288.281886477357;1530;1819;1994;2186;2653.02499540728;1.01051832698111;180
"lambda[3]";10001.281;290.816318568194;9453;9799;9993.99999999999;10190;10580;1.00144956582067;3000
"lambda[4]";4878.93775;361.651173305846;4212;4624;4862;5117;5625;1.00186847902113;1600
"lambda[5]";2656.0445;230.299985288561;2253;2494;2638;2802;3142;1.00265649224448;880
"lambda[6]";3069.3748;257.010415436111;2608;2891;3053;3233;3615.02499662924;1.00313516575203;690
"lambda[7]";11845.28815;702.572323332661;10540;11360;11820;12300;13310;1.002772797488;820
"lambda[8]";1259.155515;87.1149174023971;1103;1199;1254;1315;1445;1.00166552926856;2100
"lambda[9]";10164.1605;232.785271632216;9715.99999999999;10010;10160;10320;10630;1.00238292665737;1000
"lambda[10]";7886.4231;188.90412521916;7527.97499838091;7756;7885;8011.99999999999;8264.02499852534;1.00234280987172;1100
"lambda[11]";10798.63595;277.362873913919;10280;10610;10790;10980;11360;1.0016043405982;2300
"lambda[12]";7189.89425;432.962537634479;6404.00000000001;6886.00000000001;7171;7468;8099.0249984953;1.0037423625937;2600
"lambda[13]";7565.27795;296.871560493707;7004;7364;7557.00000000001;7758;8176;1.00174310665678;1900
"lambda[14]";10589.1316;668.925191054277;9351.94999478648;10120;10570;11010;12010;1.00118505517792;6300
"lambda[15]";13742.5635;646.436174308124;12550;13290;13720;14150;15100.2499193232;1.00112780978657;8400
"lambda[16]";10593.37515;459.719315348967;9737;10280;10580;10890;11550;1.00402242272968;1100
"lambda[17]";8837.7658;689.535871827048;7600.97499839646;8357;8792.99999999999;9284;10290;1.00287783523255;3000
"lambda[18]";8310.4842;817.324436996794;6863;7738;8251;8825;10070;1.01301314624943;420
"lambda[19]";8674.90675;1370.84151887734;6276.94999223193;7732;8539.49998536215;9496.99999999999;11760;1.01175850968852;190
