"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"lambda[9]","10164.0776","232.714939659385","9723","10000","10160","10320","10630","1.00104061185132","29000"
"lambda[10]","7886.17532","189.519010332606","7526","7756","7882","8011.99999999999","8269","1.00102993378621","36000"
"lambda[11]","10797.54565","273.397596731457","10280","10610","10790","10980","11350","1.00102954149842","37000"
"lambda[12]","7189.98175","427.586803844185","6406","6895","7168.99999999999","7464","8090.02499849363","1.00099573330252","1e+05"
"lambda[13]","7572.07258","294.24358406771","7021","7368","7563","7765","8175","1.00098882012725","1e+05"
"lambda[14]","10590.48762","647.500565726828","9409","10140","10560","11000","11960","1.00115049859513","9300"
"lambda[15]","13737.7221","634.11253982138","12560","13300","13720","14150","15040","1.00122874366354","6300"
"lambda[16]","10582.86396","466.201645270433","9711.00000000001","10260","10570","10890","11550","1.00104944554115","25000"
"lambda[17]","8917.43031","686.893608364204","7678","8434","8881.00000000001","9360","10360","1.00137831094334","3900"
"lambda[18]","8323.50646","817.785116582124","6886.99999999999","7746.99999999999","8268","8833","10080","1.00101120324257","66000"
"lambda[19]","8626.81963","1325.46058202204","6424","7685","8497.99999999999","9420","11600","1.00108056048767","16000"
"lambda[20]","10310.55586","571.10305853383","9267","9913.00000000001","10290","10680","11510","1.00148034412702","3100"
"lambda[21]","6652.47569","521.648285052637","5718","6286","6623","6986","7754","1.00099152683155","1e+05"
"lambda[22]","9778.06066","388.743955372933","9051","9509.00000000001","9765.99999999999","10030","10580","1.0012639680726","5500"
"lambda[23]","6291.33579","458.32330180514","5469","5970","6265","6583","7264","1.00112452408458","11000"
"Nesc[1]","6271.71599","878.482486987145","4760","5649","6198","6817","8189.02499851184","1.00124895311161","5800"
"Nesc[2]","2025.58958","283.426214841916","1549","1825","1999","2198","2651","1.00103228368987","34000"
"Nesc[3]","9990.71907","273.102314118857","9476","9804.00000000001","9981.99999999999","10170","10550","1.00141694107398","3500"
"Nesc[4]","4771.57573","353.52102075561","4133","4525","4754","4997","5518","1.00108566223903","15000"
"Nesc[5]","2623.04178","221.515934793697","2232","2468","2608","2762","3099","1.00101103017049","67000"
"Nesc[6]","3180.88156","251.333583147312","2732","3005","3165","3339","3718","1.00099505744279","1e+05"
"Nesc[7]","12017.43701","715.53942351133","10710","11520","11980","12480","13510","1.00118885564916","7500"
"Nesc[8]","1247.32719","80.6594019076205","1103","1191","1242","1298","1419","1.00122418300824","6400"
"Nesc[9]","10129.15839","210.236801863367","9731.00000000001","9984","10130","10270","10550","1.00102239964506","44000"
"Nesc[10]","7833.82449","166.959293962026","7518","7719.00000000001","7829","7943","8175","1.00110974031522","12000"
"Nesc[11]","10768.55258","253.663370446737","10290","10590","10760","10940","11280","1.00105608386843","22000"
