"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"d_Sc_pred[1,14]","2.28659724721672","0.809322013448791","1.081","1.70624994506568","2.162","2.74","4.183","1.001279875952","4200"
"d_Sc_pred[1,15]","4.42460690102181","1.55307272240901","2.090824965467","3.311","4.1894999701635","5.258","8.1405249202037","1.00092851809157","13000"
"d_Sc_pred[1,16]","4.22819465456764","1.44102599706858","2.007","3.19624997067181","4.01849996889387","5.022","7.56769984741262","1.00092804144582","13000"
"d_Sc_pred[1,17]","2.85237549946622","0.971813856927959","1.37582494751495","2.157","2.711","3.39","5.12604949328766","1.00092248327442","13000"
"d_Sc_pred[1,18]","3.91590700777795","1.30065317456062","1.93764985091259","2.98824996863062","3.737","4.64149991919555","7.01452490739685","1.00097130716085","13000"
"d_Sc_pred[1,19]","3.39424439530273","1.16393852769009","1.613","2.5572499633443","3.22849996128233","4.04974997684852","6.10522442091712","1.00106944743892","10000"
"d_Sc_pred[1,20]","8.44438180570383","3.25851629571254","3.638","6.11174986196883","7.915","10.22","16.3334982330983","1.00153156726739","2500"
"d_Sc_pred[1,21]","5.23009981698948","1.74985327110555","2.55682497176196","3.982","4.974","6.193","9.37752493072826","1.00092238648306","13000"
"d_Sc_pred[1,22]","3.80701615067866","1.29807962513179","1.848","2.891","3.6034999653115","4.504","6.87569983205943","1.00184165526976","1600"
"d_Sc_pred[1,23]","5.80258792130548","2.03224163835189","2.74482497369636","4.36524997852521","5.497","6.923","10.71","1.00102646015686","13000"
"d_Sc_pred[1,24]","2.75282064206192","0.944094392905196","1.31882494524578","2.076","2.612","3.28074997142131","4.96417498545958","1.00121113035978","5200"
"d_Sc_pred[1,25]","3.23180366021046","1.12490024871419","1.524","2.428","3.063","3.837","5.90717498778059","1.00130232049504","4000"
"d_Sc_pred[1,26]","2.87361518987342","1.01632590277696","1.32882494565797","2.148","2.727","3.42074997259106","5.28934994541811","1.00093777149763","13000"
"d_Sc_pred[1,27]","8.11799229830715","2.75257041079953","3.876","6.167","7.72149985430292","9.63674999027128","14.59","1.00108928058691","9000"
"d_Sc_pred[1,28]","2.35271973463474","0.849715002402968","1.08064973258519","1.739","2.224","2.806","4.39434993430358","1.00137455795597","3300"
"d_Sc_pred[2,1]","4.11698392557572","1.95926468353806","1.58664981791332","2.793","3.721","4.993","9.04279795795049","1.00095640157107","13000"
"d_Sc_pred[2,2]","7.74295394235169","2.88443238719641","3.47164991680552","5.69124998352831","7.2714999828096","9.268","14.58","1.0009455990913","13000"
"d_Sc_pred[2,3]","2.69028506176605","0.963954515738048","1.23582494156711","2.001","2.54449995087443","3.219","4.91374853220222","1.00092805787661","13000"
"d_Sc_pred[2,4]","4.33090834222968","1.39508262842666","2.158","3.334","4.144","5.11924983514873","7.58217499047986","1.00093050790138","13000"
"d_Sc_pred[2,5]","3.36593943114229","1.21200147922172","1.558","2.50424996256862","3.173","4.004","6.25792360528194","1.00125988656964","4400"
"d_Sc_pred[2,6]","2.66598898886686","1.06044292456115","1.151","1.913","2.478","3.227","5.24222432564086","1.00110622997393","8200"
"d_Sc_pred[2,7]","6.24926943724264","3.14310107968664","2.23782496773587","4.028","5.51349979595538","7.70149995130397","14.09","1.00133338139331","3700"
"d_Sc_pred[2,8]","10.0848076101876","3.46648460540795","4.74682498479108","7.581","9.649","12.07","18.08","1.00127422903466","4300"
"d_Sc_pred[2,9]","1.32306335214275","0.514700315718689","0.571094954474582","0.959124999022581","1.238","1.59","2.55952474629756","1.00094583954298","13000"
"d_Sc_pred[2,10]","7.3101225407961","2.23645432381385","3.788","5.73524998365467","7.012","8.574","12.51","1.00127148030541","4300"
"d_Sc_pred[2,11]","4.51571166692085","1.68459304232014","2.051","3.321","4.249","5.395","8.59317499159986","1.00092399040085","13000"
"d_Sc_pred[2,12]","7.40407282293732","2.25888345777776","3.87582498137285","5.796","7.107","8.71949995698966","12.65","1.0009320163874","13000"
"d_Sc_pred[2,13]","6.18167340247064","2.03786848699136","3.04382497628057","4.755","5.911","7.296","11","1.00093446673703","13000"
"d_Sc_pred[2,14]","4.31508174470032","1.37087048691378","2.18364986771476","3.338","4.129","5.08974998157942","7.53234996166976","1.00129657618592","4000"
"d_Sc_pred[2,15]","10.4158731889584","3.37770587280405","5.068","8.003","9.961","12.38","18.0617496004253","1.0011866731194","5700"
"d_Sc_pred[2,16]","9.18480196736312","2.79224121849202","4.7407742534021","7.182","8.86849998590517","10.8174991330816","15.48","1.00094550656086","13000"
"d_Sc_pred[2,17]","8.05828168369681","2.44797191713655","4.1658249826697","6.30424998512987","7.756","9.47049996040057","13.76","1.00108246538043","9400"
"d_Sc_pred[2,18]","7.06010843373494","2.12346849526383","3.68177403847876","5.57224998317656","6.8084999816406","8.266","11.9517493962278","1.00092720302014","13000"
"d_Sc_pred[2,19]","9.76538012810737","2.73102626386225","5.39064994642642","7.814","9.455","11.33","16.0117495492812","1.00103233767468","13000"
"d_Sc_pred[2,20]","15.1105777794723","5.07307965852866","7.14794963630192","11.44","14.46","18.0574994807293","26.8769957054144","1.00184390736842","1600"
"d_Sc_pred[2,21]","7.19443678511514","2.11233659577564","3.80982498105012","5.67624998348478","6.962","8.43449995553623","11.98","1.00092266403765","13000"
"d_Sc_pred[2,22]","9.96027970108281","3.01938084504319","5.16582498602478","7.80224998798475","9.568","11.72","16.8317495712334","1.00122175352895","5000"
"d_Sc_pred[2,23]","15.9671327588836","4.84587908772341","8.32447492194235","12.5","15.3549991859329","18.79","27.17","1.00131599164842","3800"
"d_Sc_pred[2,24]","5.61008616745463","1.73309328887603","2.89","4.37224997855959","5.393","6.59374998578127","9.582","1.00093982676307","13000"
"d_Sc_pred[2,25]","7.06604499008693","2.18169772573569","3.655","5.522","6.80199992649221","8.29","12.08","1.00093937328593","13000"
"d_Sc_pred[2,26]","6.41745706878145","2.12638487593634","3.1368249769839","4.892","6.118","7.60974998767974","11.38","1.00123446940654","4800"
"d_Sc_pred[2,27]","20.7007072594174","6.35963575659366","10.5","16.15","19.98","24.3574996150556","35.3717497959426","1.0009809138003","13000"
"d_Sc_pred[2,28]","4.16728649534848","1.40557432916299","2.04982496477613","3.149","3.96299987383295","4.958","7.44669984493383","1.00109460242352","8700"
"d_Sc_pred[3,1]","6.73373966753088","2.45036540707145","3.095","4.992","6.348","8.055","12.57","1.00130593342615","3900"
"d_Sc_pred[3,2]","8.60938058563367","3.06137540228779","4.03784419640506","6.43","8.134","10.3","15.8117495435817","1.00101954141021","13000"
"d_Sc_pred[3,3]","5.883030730517","1.96855373565444","2.90282497512827","4.483","5.59849997767259","6.9917499865907","10.42","1.00092290521938","13000"
"d_Sc_pred[3,4]","8.50280600884551","2.51440266505367","4.54064993639564","6.688","8.161","9.99874999062352","14.23","1.00099475811985","13000"
"d_Sc_pred[3,5]","10.5457802348635","3.52390439756894","5.14147487360595","8.066","10.05","12.5","18.7017496140961","1.00108338741616","9300"
"d_Sc_pred[3,6]","6.40341840780845","2.46082318526117","2.77929958416835","4.63524997977601","5.99","7.738","12.25","1.00131062626782","3900"
"d_Sc_pred[3,7]","10.6401238371206","4.41473517605139","4.28794939357338","7.5052499875093","9.913","12.95","21.5134986583599","1.00110227233826","8300"
"d_Sc_pred[3,8]","11.2975488028062","3.38827468617687","6.05229980910878","8.942","10.83","13.18","19.19","1.00095145957444","13000"
"d_Sc_pred[3,9]","2.41911106451121","0.889134883849504","1.11082493498915","1.789","2.276","2.88674996752028","4.5411749841053","1.0010006316346","13000"
"d_Sc_pred[3,10]","13.8858197346347","3.85392824505193","7.73012476647292","11.16","13.38","16.13","22.6","1.00105599067171","11000"
"d_Sc_pred[3,11]","9.97956229983224","3.59915158575433","4.759","7.447","9.41849998672825","11.81","18.8117496163521","1.00092698348253","13000"
"d_Sc_pred[3,12]","15.87950991307","4.47600081576949","8.78964996714562","12.7024992621499","15.34","18.39","26.22","1.00095845055144","13000"
"d_Sc_pred[3,13]","12.345340399573","3.82132340793094","6.472","9.605","11.82","14.46","21.4217496630859","1.00092401960207","13000"
"d_Sc_pred[3,14]","7.00228214122312","2.10412554308938","3.7146499222491","5.51","6.711","8.16574998851865","11.8617493916484","1.00151036341284","2600"
"d_Sc_pred[3,15]","18.7671997864877","5.54218578828522","9.97047493483037","14.8","18.15","22","31.5234990842684","1.00095015034765","13000"
"d_Sc_pred[3,16]","16.7790170809822","4.65518292011049","9.23924921831991","13.55","16.25","19.46","27.47","1.00092221815296","13000"
"d_Sc_pred[3,17]","14.9162527070307","4.20232190087094","8.08829985717053","11.98","14.42","17.33","24.3934988167034","1.00094175673725","13000"
"d_Sc_pred[3,18]","12.1488390269941","3.3745132422988","6.822","9.771","11.72","14.06","19.8","1.00092217071443","13000"
"d_Sc_pred[3,19]","22.2948625133445","5.62454299234438","13.14","18.34","21.71","25.57","34.93","1.00096583209423","13000"
"d_Sc_pred[3,20]","27.0333502363886","8.09710591377772","14.1382494892605","21.36","25.97","31.6474997037369","45.7952485817237","1.00099231834604","13000"
"d_Sc_pred[3,21]","16.4293795180723","4.39316208231983","9.30577461976934","13.31","15.9","18.97","26.4534989088195","1.00102093758445","13000"
"d_Sc_pred[3,22]","19.9618943876773","5.44523371497368","11.17","16.13","19.32","23.16","32.63","1.00094272460725","13000"
"d_Sc_pred[3,23]","21.1724007167912","6.17133711076526","11.5","16.8","20.3049993843881","24.68","35.4917497966325","1.00107241231541","10000"
"d_Sc_pred[3,24]","14.6270972243404","3.99925537098912","8.22547492100271","11.78","14.16","16.92","23.7717496963861","1.00110029301303","8400"
"d_Sc_pred[3,25]","17.8996255147171","4.99819184337575","9.85647493407652","14.34","17.36","20.8","29.29","1.00093632979824","13000"
"d_Sc_pred[3,26]","12.4864238218698","3.72755541470057","6.57647490119084","9.824","12.01","14.65","21.1117496581397","1.00111955145295","7600"
"d_Sc_pred[3,27]","39.9434070459051","11.2288590577844","21.7682496683157","32","38.69","46.41","65.8752490139555","1.00092953800194","13000"
"d_Sc_pred[3,28]","9.5576473234711","2.93221974450278","4.998","7.47949994986743","9.15049998633955","11.22","16.2634982254974","1.00158870148203","2300"
"d_Sc_pred[4,1]","9.19567828275126","3.26017005323327","4.32464993321821","6.85324998632102","8.727","11.01","16.84","1.00092721077804","13000"
"d_Sc_pred[4,2]","12.1362082507244","4.0195171399629","5.94012469607608","9.296","11.57","14.38","21.521749664651","1.00095249364007","13000"
"d_Sc_pred[4,3]","8.97194341924661","2.90816699497274","4.43064993481622","6.8682499863509","8.579","10.63","15.7217495409696","1.00105408974783","11000"
"d_Sc_pred[4,4]","6.31677177062681","1.94296280364142","3.315","4.947","6.04","7.40574998734035","10.79","1.00152180571288","2500"
"d_Sc_pred[4,5]","8.76971633368919","2.81863498447126","4.4424748537127","6.78024998617376","8.375","10.35","15.3834981240456","1.0009755652488","13000"
"d_Sc_pred[4,6]","5.76732209852066","2.09067528184082","2.64482497270166","4.26624997802691","5.46799990855889","6.903","10.7134973069803","1.00100587445153","13000"
"d_Sc_pred[4,7]","10.3592864114687","4.08237815446308","4.45612459481264","7.47424998745749","9.70949998712601","12.45","20.07","1.00094284961841","13000"
"d_Sc_pred[4,8]","12.394283513802","3.52291987311483","6.69664995687584","9.89024999052129","11.99","14.45","20.5517496488266","1.00094450645895","13000"
"d_Sc_pred[4,9]","2.43739060545981","0.869117441125529","1.12","1.81924994847721","2.308","2.89974996766591","4.52617498405263","1.00100953894012","13000"
"d_Sc_pred[4,10]","13.0565536830868","3.47312511091218","7.47582499034331","10.56","12.64","15.0874993784874","20.93","1.00093932313002","13000"
"d_Sc_pred[4,11]","9.15158692999847","3.1971356055112","4.43589765386857","6.89549994562196","8.653","10.85","16.7434982763422","1.00092373601657","13000"
"d_Sc_pred[4,12]","22.2069762848864","5.787255875057","12.5882494263511","18.11","21.66","25.6374996342772","35.14","1.0010336585406","13000"
"d_Sc_pred[4,13]","12.4966217782522","3.75841934621512","6.67082498917792","9.81924999045275","11.99","14.61","21.31","1.00092267466806","13000"
"d_Sc_pred[4,14]","11.0902328046363","3.08994101797531","6.20582498836697","8.902","10.7","12.89","18.15","1.00092731546963","13000"
"d_Sc_pred[4,15]","22.9713085252402","6.4679866774762","12.5182494231422","18.39","22.25","26.74","37.81","1.00105378552191","11000"
"d_Sc_pred[4,16]","14.7340900564282","3.95783620768439","8.36882499137379","11.92","14.28","17.04","23.74","1.0010533094379","11000"
