"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"Nesc[17]";2366.46013333333;61.7239176120764;2253;2323;2364;2406;2495;1.00163344532041;2200
"Nesc[18]";1234.07003333333;52.1615090154255;1139;1198;1232;1267;1343;1.0010939575389;12000
"Nesc[19]";1233.24013333333;54.4813124820112;1135;1195;1230;1268;1348;1.00102974353515;23000
"Nesc[20]";846.716033333333;32.0155623013747;789;824;845;867;915;1.00118387474623;6900
"Nesc[21]";1357.89123333333;58.4758689607994;1252;1317;1355;1395;1481;1.00104962513218;18000
"Nesc[22]";957.1152;43.0525838921738;881;927;954;984;1049;1.00097235955843;30000
"Nesc[23]";2157.69633333333;107.186751139664;1962;2084;2152;2226;2385;1.00096556298771;30000
"Nesc[24]";3388.1641;170.891467217185;3078;3269;3380;3498;3746.02499674709;1.00128237608303;4700
"Nesc[25]";1414.95123333333;114.373500566055;1212;1335;1407;1487;1659;1.00157720986109;2500
"Nesc[26]";1805.4299;91.5702640404181;1639;1741;1801;1865;1997;1.0010312979321;23000
"Nesc[27]";1365.1184;66.881853698781;1247;1318;1360;1408;1508;1.00119365183083;6600
"Nesc[28]";1290.46053333333;94.7094858251928;1123;1225;1284;1350;1493;1.0011194329242;9700
"Nesc[29]";1571.52666666667;108.080132923339;1377;1496;1565;1641;1800;1.00098743532063;30000
"Nesc[30]";2301.43783333333;116.119374749775;2087;2220;2296;2377;2544;1.00104283326671;19000
"Nesc[31]";1972.77976666667;245.316425599472;1553;1798;1953;2126;2504;1.00116057998546;7700
"overdisp_MC[1]";1.11961463333333;0.284228497016894;0.647494999246951;0.9171;1.092;1.292;1.752;1.00101085832109;30000
"overdisp_MC[2]";1.11961463333333;0.284228497016894;0.647494999246951;0.9171;1.092;1.292;1.752;1.00101085832109;30000
"overdisp_MC[3]";3.35883596666667;0.852679930860665;1.94297499372536;2.751;3.275;3.877;5.257;1.00101085542105;30000
"overdisp_MC[4]";4.47844543333333;1.13690630989881;2.58997499529321;3.669;4.367;5.169;7.01;1.00101086863887;30000
"overdisp_MC[5]";2.23922183;0.568450614639326;1.295;1.834;2.184;2.584;3.505;1.00101082819842;30000
"overdisp_MC[6]";2.23922183;0.568450614639326;1.295;1.834;2.184;2.584;3.505;1.00101082819842;30000
"overdisp_MC[7]";2.23922183;0.568450614639326;1.295;1.834;2.184;2.584;3.505;1.00101082819842;30000
"overdisp_MC[8]";1.11961463333333;0.284228497016894;0.647494999246951;0.9171;1.092;1.292;1.752;1.00101085832109;30000
"overdisp_MC[9]";2.23922183;0.568450614639326;1.295;1.834;2.184;2.584;3.505;1.00101082819842;30000
"overdisp_MC[10]";3.35883596666667;0.852679930860665;1.94297499372536;2.751;3.275;3.877;5.257;1.00101085542105;30000
"overdisp_MC[11]";3.35883596666667;0.852679930860665;1.94297499372536;2.751;3.275;3.877;5.257;1.00101085542105;30000
